,folds,f1_scores,precision_scores,recall_scores,accuracy_scores,auc_scores
0,0,0.9502762430939227,0.9555555555555556,0.945054945054945,0.9510869565217391,0.9510220961833865
1,1,0.945054945054945,0.9555555555555556,0.9347826086956522,0.9447513812154696,0.9449193942354667
2,2,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9226519337016574,0.9226495726495727
3,3,0.907103825136612,0.8924731182795699,0.9222222222222223,0.9060773480662984,0.9061660561660562
4,4,0.9775280898876404,0.9666666666666667,0.9886363636363636,0.9771428571428571,0.9770768025078371
