,folds,f1_scores,precision_scores,recall_scores,accuracy_scores,auc_scores
0,0,0.6956521739130435,0.6857142857142857,0.7058823529411765,0.8820224719101124,0.8147467320261439
1,1,0.5797101449275363,0.5263157894736842,0.6451612903225806,0.8342857142857143,0.7600806451612903
2,2,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9428571428571428,0.899425287356322
3,3,0.6923076923076923,0.574468085106383,0.8709677419354839,0.8666666666666667,0.8683697770080104
4,4,0.7368421052631579,0.84,0.65625,0.9166666666666666,0.8146114864864865
