,folds,f1_scores,precision_scores,recall_scores,accuracy_scores,auc_scores
0,0,0.6296296296296297,0.85,0.5,0.8876404494382022,0.7395833333333334
1,1,0.8333333333333334,0.8620689655172413,0.8064516129032258,0.9428571428571428,0.8893369175627239
2,2,0.896551724137931,0.9285714285714286,0.8666666666666667,0.9657142857142857,0.9264367816091954
3,3,0.8,0.8275862068965517,0.7741935483870968,0.9333333333333333,0.8703182507036156
4,4,0.8275862068965517,0.9230769230769231,0.75,0.9444444444444444,0.8682432432432432
