,folds,f1_scores,precision_scores,recall_scores,accuracy_scores,auc_scores
0,0,0.6842105263157895,0.6190476190476191,0.7647058823529411,0.8651685393258427,0.8267973856209149
1,1,0.8,0.9166666666666666,0.7096774193548387,0.9371428571428572,0.847894265232975
2,2,0.8771929824561403,0.9259259259259259,0.8333333333333334,0.96,0.9097701149425288
3,3,0.6382978723404256,0.9375,0.4838709677419355,0.9055555555555556,0.7385797791729812
4,4,0.6296296296296297,0.7727272727272727,0.53125,0.8888888888888888,0.7487331081081081
