,folds,f1_scores,precision_scores,recall_scores,accuracy_scores,auc_scores
0,0,0.994535519125683,0.9891304347826086,1.0,0.9945652173913043,0.9946236559139785
1,1,0.967741935483871,0.9574468085106383,0.9782608695652174,0.9668508287292817,0.966658524670249
2,2,0.967032967032967,0.967032967032967,0.967032967032967,0.9668508287292817,0.966849816849817
3,3,0.9717514124293786,0.9885057471264368,0.9555555555555556,0.9723756906077348,0.9722832722832724
4,4,0.9540229885057471,0.9651162790697675,0.9431818181818182,0.9542857142857143,0.9543495297805643
