,folds,f1_scores,precision_scores,recall_scores,accuracy_scores,auc_scores
0,0,0.9468085106382979,0.9368421052631579,0.956989247311828,0.9456521739130435,0.9455275906888811
1,1,0.9080459770114943,0.9294117647058824,0.8876404494382022,0.9116022099447514,0.9112115290669273
2,2,0.9265536723163842,0.9425287356321839,0.9111111111111111,0.9281767955801105,0.928083028083028
3,3,0.9050279329608939,0.9204545454545454,0.8901098901098901,0.9060773480662984,0.9061660561660562
4,4,0.9710982658959537,0.9767441860465116,0.9655172413793104,0.9714285714285714,0.9713949843260189
