,folds,f1_scores,precision_scores,recall_scores,accuracy_scores,auc_scores
0,0,0.9607843137254902,0.9423076923076923,0.98,0.9636363636363636,0.965
1,1,0.9714285714285714,0.9807692307692307,0.9622641509433962,0.976,0.9741876310272537
2,2,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.936,0.934141201264489
3,3,0.9292929292929293,0.9787234042553191,0.8846153846153846,0.9411764705882353,0.934845005740528
4,4,0.9811320754716981,0.9811320754716981,0.9811320754716981,0.9841269841269841,0.9837167226673559
