,folds,f1_scores,precision_scores,recall_scores,accuracy_scores,auc_scores
0,0,0.7428571428571429,0.7222222222222222,0.7647058823529411,0.898876404494382,0.8476307189542484
1,1,0.8070175438596491,0.8846153846153846,0.7419354838709677,0.9371428571428572,0.8605510752688171
2,2,0.8928571428571429,0.9615384615384616,0.8333333333333334,0.9657142857142857,0.9132183908045978
3,3,0.8253968253968254,0.8125,0.8387096774193549,0.9388888888888889,0.8992206105217581
4,4,0.8253968253968254,0.8387096774193549,0.8125,0.9388888888888889,0.8893581081081081
