,folds,f1_scores,precision_scores,recall_scores,accuracy_scores,auc_scores
0,0,0.7536231884057971,0.7428571428571429,0.7647058823529411,0.9044943820224719,0.8511029411764706
1,1,0.8888888888888888,0.875,0.9032258064516129,0.96,0.9377240143369175
2,2,0.8709677419354839,0.84375,0.9,0.9542857142857143,0.9327586206896551
3,3,0.7796610169491526,0.8214285714285714,0.7419354838709677,0.9277777777777778,0.8541892184455511
4,4,0.7796610169491526,0.8518518518518519,0.71875,0.9277777777777778,0.8458614864864865
