,folds,f1_scores,precision_scores,recall_scores,accuracy_scores,auc_scores
0,0,0.9497206703910615,0.9659090909090909,0.9340659340659341,0.9510869565217391,0.9509039347749025
1,1,0.9247311827956989,0.9148936170212766,0.9347826086956522,0.9226519337016574,0.922447484123107
2,2,0.9456521739130435,0.9354838709677419,0.9560439560439561,0.9447513812154696,0.9446886446886448
3,3,0.9010989010989011,0.8913043478260869,0.9111111111111111,0.9005524861878453,0.9006105006105005
4,4,0.9772727272727273,0.9772727272727273,0.9772727272727273,0.9771428571428571,0.9771421107628004
